#####################################################################
# Alchemist log file - simulation started at: 2024-06-01T16:46+0000 #
#####################################################################
#
# 
#
# The columns have the following meaning: 
# time 0-1 1-2 2-3 3-4 4-5 5-6 6-10 >10 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.016676366669265086 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10.016676366669266 0.0 1.0 6.0 3.0 0.0 0.0 0.0 0.0
20.016676366669266 0.0 0.0 3.0 5.0 2.0 0.0 0.0 0.0
30.016676366669266 0.0 0.0 3.0 6.0 1.0 0.0 0.0 0.0
40.016676366669266 0.0 1.0 4.0 4.0 0.0 1.0 0.0 0.0
50.016676366669266 0.0 1.0 6.0 1.0 2.0 0.0 0.0 0.0
60.016676366669266 0.0 0.0 2.0 6.0 2.0 0.0 0.0 0.0
70.01667636666926 0.0 2.0 2.0 5.0 1.0 0.0 0.0 0.0
80.01667636666926 0.0 2.0 2.0 3.0 3.0 0.0 0.0 0.0
90.01667636666926 0.0 4.0 1.0 3.0 2.0 0.0 0.0 0.0
100.01667636666926 0.0 1.0 2.0 6.0 1.0 0.0 0.0 0.0
110.01667636666926 0.0 0.0 3.0 2.0 3.0 2.0 0.0 0.0
120.01667636666926 0.0 0.0 3.0 5.0 1.0 1.0 0.0 0.0
130.01667636666926 0.0 0.0 1.0 7.0 2.0 0.0 0.0 0.0
140.01667636666926 0.0 0.0 0.0 5.0 5.0 0.0 0.0 0.0
150.01667636666926 0.0 0.0 2.0 6.0 2.0 0.0 0.0 0.0
160.01667636666926 0.0 2.0 0.0 7.0 1.0 0.0 0.0 0.0
170.01667636666926 0.0 3.0 4.0 2.0 1.0 0.0 0.0 0.0
180.01667636666926 0.0 1.0 3.0 6.0 0.0 0.0 0.0 0.0
190.01667636666926 0.0 1.0 2.0 6.0 1.0 0.0 0.0 0.0
200.01667636666926 0.0 0.0 5.0 5.0 0.0 0.0 0.0 0.0
210.01667636666926 0.0 1.0 2.0 4.0 3.0 0.0 0.0 0.0
220.01667636666926 0.0 1.0 3.0 3.0 3.0 0.0 0.0 0.0
230.01667636666926 0.0 1.0 1.0 7.0 1.0 0.0 0.0 0.0
240.01667636666926 0.0 3.0 4.0 3.0 0.0 0.0 0.0 0.0
250.01667636666926 0.0 1.0 2.0 6.0 1.0 0.0 0.0 0.0
260.01667636666923 0.0 2.0 1.0 5.0 2.0 0.0 0.0 0.0
270.01667636666923 0.0 4.0 0.0 4.0 1.0 1.0 0.0 0.0
280.01667636666923 0.0 1.0 0.0 6.0 1.0 2.0 0.0 0.0
290.01667636666923 0.0 3.0 2.0 4.0 1.0 0.0 0.0 0.0
300.01667636666923 0.0 2.0 1.0 4.0 2.0 0.0 1.0 0.0
