#####################################################################
# Alchemist log file - simulation started at: 2024-06-04T14:07+0000 #
#####################################################################
#
# seed = 9.0, NumberOfHerds = 1, intrinsicForwardCoefficient = 0.316227766016838, intrinsicLateralMultiplier = 0.25
#
# The columns have the following meaning: 
# time 0-1 1-2 2-3 3-4 4-5 5-6 6-10 >10 
650.0157315983975 15.0 64.0 21.0 0.0 0.0 0.0 0.0 0.0
660.0157315983975 17.0 60.0 23.0 0.0 0.0 0.0 0.0 0.0
670.0157315983975 16.0 64.0 20.0 0.0 0.0 0.0 0.0 0.0
680.0157315983975 13.0 60.0 27.0 0.0 0.0 0.0 0.0 0.0
690.0157315983975 14.0 66.0 20.0 0.0 0.0 0.0 0.0 0.0
700.0157315983975 7.0 62.0 31.0 0.0 0.0 0.0 0.0 0.0
710.0157315983975 13.0 70.0 17.0 0.0 0.0 0.0 0.0 0.0
720.0157315983975 20.0 59.0 21.0 0.0 0.0 0.0 0.0 0.0
730.0157315983975 7.0 59.0 34.0 0.0 0.0 0.0 0.0 0.0
740.0157315983975 6.0 64.0 30.0 0.0 0.0 0.0 0.0 0.0
750.0157315983975 11.0 66.0 23.0 0.0 0.0 0.0 0.0 0.0
760.0157315983975 9.0 71.0 20.0 0.0 0.0 0.0 0.0 0.0
770.0157315983975 12.0 68.0 20.0 0.0 0.0 0.0 0.0 0.0
780.0157315983975 8.0 77.0 15.0 0.0 0.0 0.0 0.0 0.0
790.0157315983975 16.0 56.0 26.0 2.0 0.0 0.0 0.0 0.0
800.0157315983975 10.0 69.0 21.0 0.0 0.0 0.0 0.0 0.0
810.0157315983975 7.0 72.0 21.0 0.0 0.0 0.0 0.0 0.0
820.0157315983975 10.0 65.0 25.0 0.0 0.0 0.0 0.0 0.0
830.0157315983975 9.0 66.0 25.0 0.0 0.0 0.0 0.0 0.0
840.0157315983975 10.0 58.0 32.0 0.0 0.0 0.0 0.0 0.0
850.0157315983975 12.0 58.0 30.0 0.0 0.0 0.0 0.0 0.0
860.0157315983975 8.0 63.0 29.0 0.0 0.0 0.0 0.0 0.0
870.0157315983975 4.0 73.0 22.0 1.0 0.0 0.0 0.0 0.0
880.0157315983975 3.0 67.0 30.0 0.0 0.0 0.0 0.0 0.0
890.0157315983975 4.0 63.0 33.0 0.0 0.0 0.0 0.0 0.0
900.0157315983975 5.0 67.0 28.0 0.0 0.0 0.0 0.0 0.0
910.0157315983975 8.0 53.0 39.0 0.0 0.0 0.0 0.0 0.0
920.0157315983975 4.0 55.0 41.0 0.0 0.0 0.0 0.0 0.0
930.0157315983975 13.0 55.0 32.0 0.0 0.0 0.0 0.0 0.0
940.0157315983975 11.0 53.0 36.0 0.0 0.0 0.0 0.0 0.0
950.0157315983975 8.0 71.0 21.0 0.0 0.0 0.0 0.0 0.0
960.0157315983975 7.0 64.0 29.0 0.0 0.0 0.0 0.0 0.0
970.0157315983975 7.0 60.0 33.0 0.0 0.0 0.0 0.0 0.0
980.0157315983975 8.0 56.0 36.0 0.0 0.0 0.0 0.0 0.0
990.0157315983975 9.0 66.0 25.0 0.0 0.0 0.0 0.0 0.0
1000.0157315983975 8.0 66.0 26.0 0.0 0.0 0.0 0.0 0.0
1010.0157315983975 7.0 63.0 30.0 0.0 0.0 0.0 0.0 0.0
1020.0157315983975 6.0 63.0 31.0 0.0 0.0 0.0 0.0 0.0
1030.0157315983975 9.0 67.0 24.0 0.0 0.0 0.0 0.0 0.0
1040.0157315983975 6.0 67.0 27.0 0.0 0.0 0.0 0.0 0.0
1050.0157315983975 2.0 62.0 36.0 0.0 0.0 0.0 0.0 0.0
1060.0157315983975 5.0 71.0 23.0 1.0 0.0 0.0 0.0 0.0
1070.0157315983975 1.0 66.0 33.0 0.0 0.0 0.0 0.0 0.0
1080.0157315983975 2.0 66.0 32.0 0.0 0.0 0.0 0.0 0.0
1090.0157315983975 6.0 59.0 35.0 0.0 0.0 0.0 0.0 0.0
1100.0157315983975 6.0 65.0 29.0 0.0 0.0 0.0 0.0 0.0
1110.0157315983975 2.0 72.0 26.0 0.0 0.0 0.0 0.0 0.0
1120.0157315983975 3.0 80.0 17.0 0.0 0.0 0.0 0.0 0.0
1130.0157315983975 2.0 70.0 28.0 0.0 0.0 0.0 0.0 0.0
1140.0157315983975 5.0 72.0 23.0 0.0 0.0 0.0 0.0 0.0
1150.0157315983975 6.0 65.0 29.0 0.0 0.0 0.0 0.0 0.0
1160.0157315983975 2.0 63.0 35.0 0.0 0.0 0.0 0.0 0.0
1170.0157315983975 6.0 70.0 24.0 0.0 0.0 0.0 0.0 0.0
1180.0157315983975 2.0 78.0 20.0 0.0 0.0 0.0 0.0 0.0
1190.0157315983975 6.0 65.0 29.0 0.0 0.0 0.0 0.0 0.0
1200.0157315983975 5.0 54.0 41.0 0.0 0.0 0.0 0.0 0.0
1210.0157315983975 1.0 57.0 39.0 3.0 0.0 0.0 0.0 0.0
1220.0157315983975 3.0 52.0 45.0 0.0 0.0 0.0 0.0 0.0
1230.0157315983975 3.0 54.0 42.0 1.0 0.0 0.0 0.0 0.0
1240.0157315983975 1.0 67.0 31.0 1.0 0.0 0.0 0.0 0.0
1250.0157315983975 1.0 63.0 36.0 0.0 0.0 0.0 0.0 0.0
1260.0157315983975 3.0 72.0 25.0 0.0 0.0 0.0 0.0 0.0
1270.0157315983975 1.0 57.0 41.0 1.0 0.0 0.0 0.0 0.0
1280.0157315983975 0.0 65.0 35.0 0.0 0.0 0.0 0.0 0.0
1290.0157315983975 1.0 72.0 27.0 0.0 0.0 0.0 0.0 0.0
1300.0157315983975 2.0 73.0 25.0 0.0 0.0 0.0 0.0 0.0
1310.0157315983975 6.0 65.0 29.0 0.0 0.0 0.0 0.0 0.0
1320.0157315983975 6.0 68.0 26.0 0.0 0.0 0.0 0.0 0.0
1330.0157315983975 3.0 67.0 30.0 0.0 0.0 0.0 0.0 0.0
1340.0157315983975 3.0 63.0 34.0 0.0 0.0 0.0 0.0 0.0
1350.0157315983975 3.0 67.0 29.0 1.0 0.0 0.0 0.0 0.0
1360.0157315983975 3.0 64.0 33.0 0.0 0.0 0.0 0.0 0.0
1370.0157315983975 6.0 71.0 23.0 0.0 0.0 0.0 0.0 0.0
1380.0157315983975 4.0 58.0 38.0 0.0 0.0 0.0 0.0 0.0
1390.0157315983975 2.0 75.0 23.0 0.0 0.0 0.0 0.0 0.0
1400.0157315983975 6.0 55.0 39.0 0.0 0.0 0.0 0.0 0.0
1410.0157315983975 3.0 68.0 29.0 0.0 0.0 0.0 0.0 0.0
1420.0157315983975 2.0 68.0 30.0 0.0 0.0 0.0 0.0 0.0
1430.0157315983975 3.0 54.0 43.0 0.0 0.0 0.0 0.0 0.0
1440.0157315983975 2.0 51.0 47.0 0.0 0.0 0.0 0.0 0.0
1450.0157315983975 2.0 52.0 46.0 0.0 0.0 0.0 0.0 0.0
1460.0157315983975 3.0 53.0 44.0 0.0 0.0 0.0 0.0 0.0
1470.0157315983975 4.0 64.0 32.0 0.0 0.0 0.0 0.0 0.0
1480.0157315983975 2.0 53.0 45.0 0.0 0.0 0.0 0.0 0.0
1490.0157315983975 1.0 57.0 42.0 0.0 0.0 0.0 0.0 0.0
1500.0157315983975 4.0 52.0 44.0 0.0 0.0 0.0 0.0 0.0
1510.0157315983975 2.0 58.0 40.0 0.0 0.0 0.0 0.0 0.0
1520.0157315983975 5.0 69.0 26.0 0.0 0.0 0.0 0.0 0.0
1530.0157315983975 5.0 66.0 29.0 0.0 0.0 0.0 0.0 0.0
1540.0157315983975 3.0 79.0 18.0 0.0 0.0 0.0 0.0 0.0
1550.0157315983975 6.0 69.0 25.0 0.0 0.0 0.0 0.0 0.0
1560.0157315983975 2.0 60.0 38.0 0.0 0.0 0.0 0.0 0.0
1570.0157315983975 5.0 58.0 37.0 0.0 0.0 0.0 0.0 0.0
1580.0157315983975 5.0 71.0 23.0 1.0 0.0 0.0 0.0 0.0
1590.0157315983975 8.0 70.0 22.0 0.0 0.0 0.0 0.0 0.0
1600.0157315983975 9.0 64.0 27.0 0.0 0.0 0.0 0.0 0.0
1610.0157315983975 5.0 57.0 38.0 0.0 0.0 0.0 0.0 0.0
1620.0157315983975 3.0 52.0 45.0 0.0 0.0 0.0 0.0 0.0
1630.0157315983975 4.0 65.0 31.0 0.0 0.0 0.0 0.0 0.0
1640.0157315983975 6.0 70.0 24.0 0.0 0.0 0.0 0.0 0.0
1650.0157315983975 7.0 70.0 23.0 0.0 0.0 0.0 0.0 0.0
1660.0157315983975 4.0 74.0 22.0 0.0 0.0 0.0 0.0 0.0
1670.0157315983975 7.0 74.0 19.0 0.0 0.0 0.0 0.0 0.0
1680.0157315983975 6.0 75.0 19.0 0.0 0.0 0.0 0.0 0.0
1690.0157315983975 6.0 60.0 34.0 0.0 0.0 0.0 0.0 0.0
1700.0157315983975 5.0 67.0 28.0 0.0 0.0 0.0 0.0 0.0
1710.0157315983975 3.0 69.0 28.0 0.0 0.0 0.0 0.0 0.0
1720.0157315983975 7.0 63.0 30.0 0.0 0.0 0.0 0.0 0.0
1730.0157315983975 6.0 63.0 31.0 0.0 0.0 0.0 0.0 0.0
1740.0157315983975 10.0 66.0 24.0 0.0 0.0 0.0 0.0 0.0
1750.0157315983975 5.0 66.0 29.0 0.0 0.0 0.0 0.0 0.0
1760.0157315983975 9.0 68.0 23.0 0.0 0.0 0.0 0.0 0.0
1770.0157315983975 9.0 69.0 22.0 0.0 0.0 0.0 0.0 0.0
1780.0157315983975 11.0 63.0 26.0 0.0 0.0 0.0 0.0 0.0
1790.0157315983975 11.0 74.0 15.0 0.0 0.0 0.0 0.0 0.0
1800.0157315983975 17.0 68.0 15.0 0.0 0.0 0.0 0.0 0.0
#####################################################################
# End of data export. Simulation finished at: 2024-06-04T14:07+0000 #
#####################################################################
